project,detail,date,organization,education
Undergrad Thesis,Personality & Drug Abuse,2014-03,Maryville College,TRUE
Capstone,Hanes Recommendation Engine,2015-03,University of Tennessee,TRUE
lexRankr,authored/published R pkg to CRAN,2016-07,personal,FALSE
fivethirtyeight,contribution to pkg published to CRAN,2017-03,personal,FALSE
predictive text analytics,proprietary,2016-06,Eastman Chemical Company,FALSE
graph reccomendation engine,proprietary,2016-03,Eastman Chemical Company,FALSE
named entity recognition,proprietary,2016-04,Eastman Chemical Company,FALSE
topic modeling,proprietary,2016-08,Eastman Chemical Company,FALSE
VBA management tool,convenience tool for group managers,2014-10,Clayton Homes,FALSE
VBA pricing dashboard,tool used by retail centers across US,2015-07,Clayton Homes,FALSE
